nama: D-III BAHASA JEPANG | kode: 4408013
nama: D-III BAHASA JERMAN | kode: 4100101
nama: D-III BAHASA KOREA | kode: 4100615
nama: D-III BAHASA MANDARIN | kode: 4408012
nama: D-III BAHASA PERANCIS | kode: 4470170
nama: D-III BIOLOGI | kode: 4470162
nama: D-III BIOLOGI TERAPAN | kode: 4480310
nama: D-III BIOTEKNOLOGI PETERNAKAN | kode: 4480311
nama: D-III BISNIS INTERNASIONAL | kode: 4100244
nama: D-III BROADCAST | kode: 4475161
nama: D-III BROADCASTING | kode: 4400071
nama: D-III BUDI DAYA IKAN | kode: 4480002
nama: D-III BUDI DAYA KELAPA SAWIT | kode: 4480127
nama: D-III BUDI DAYA PERTANIAN LAHAN KERING | kode: 4480128
nama: D-III BUDI DAYA TANAMAN HORTIKULTURA | kode: 4480129
nama: D-III BUDI DAYA TANAMAN HUTAN | kode: 4480216
nama: D-III BUDI DAYA TANAMAN PANGAN | kode: 4480130
nama: D-III BUDI DAYA TANAMAN PERKEBUNAN | kode: 4480131
nama: D-III BUDI DAYA TERNAK | kode: 4480132
nama: D-III BUDIDAYA KELAUTAN | kode: 4400158
nama: D-III BUDIDAYA PERAIRAN | kode: 4470088
nama: D-III BUDIDAYA PERIKANAN | kode: 4415216
nama: D-III BUDIDAYA PERTANIAN | kode: 4415012
nama: D-III BUDIDAYA PERTANIAN DAN PERKEBUNAN | kode: 4480004
nama: D-III BUDIDAYA PETERNAKAN | kode: 4100920
nama: D-III DEMOGRAFI | kode: 4177237
nama: D-III DESAIN | kode: 4400007
nama: D-III DESAIN BUSANA | kode: 4480006
nama: D-III DESAIN GRAFIS | kode: 4470127
nama: D-III DESAIN INTERIOR | kode: 4100067
nama: D-III DESAIN KOMINIKASI VISUAL | kode: 4480217
nama: D-III DESAIN KOMUNIKASI VISUAL | kode: 4400008
nama: D-III DESAIN KOMUNIKASI VISUAL | kode: 4416119
nama: D-III DESAIN PRODUK | kode: 4400009
nama: D-III DESAIN TEKSTIL | kode: 4480133
nama: D-III EKONOMI | kode: 4401000
nama: D-III EKONOMI | kode: 4600027
nama: D-III EKONOMI PEMBANGUNAN | kode: 4401016
nama: D-III EKONOMI SUMBER DAYA | kode: 4100980
nama: D-III EKOWISATA | kode: 4404036
nama: D-III EKOWISATA LAUT | kode: 4480134
nama: D-III ELEKTRO | kode: 4609112
nama: D-III ELEKTROMEDIK | kode: 4470165
nama: D-III ELEKTRONIKA | kode: 4400012
nama: D-III ELEKTRONIKA DAN INSTRUMENTASI | kode: 4416500
nama: D-III ELEKTRONIKA INDUSTRI | kode: 4100763
nama: D-III ENTOMOLOGI PERMUKIMAN | kode: 4480135
nama: D-III FARMASI | kode: 4431000
nama: D-III FILM DAN TELEVISI | kode: 4100620
nama: D-III FISIKA | kode: 4412010
nama: D-III FISIOTERAPI | kode: 4609080
nama: D-III FOTOGRAFI | kode: 4470053
nama: D-III GAMBAR ARSITEKTUR | kode: 4100954
nama: D-III GEODESI | kode: 4470177
nama: D-III GEOFISIKA | kode: 4406011
nama: D-III GEOGRAFI | kode: 4475170
nama: D-III GEOINFORMATIKA | kode: 4400013
nama: D-III GEOLOGI | kode: 4100822
nama: D-III GEOMATIKA | kode: 4100310
nama: D-III GIZI | kode: 4411101
nama: D-III HAMA DAN PENYAKIT TANAMAN | kode: 4470026
nama: D-III HAMA PENYAKIT TUMBUHAN | kode: 4480221
nama: D-III HORTIKULTURA | kode: 4100622
nama: D-III HUBUNGAN INTERNASIONAL | kode: 4100024
nama: D-III HUBUNGAN MASYARAKAT | kode: 4405012
nama: D-III HUKUM | kode: 4609075
nama: D-III HUMANIORA | kode: 4480312
nama: D-III HYGIENE PANGAN | kode: 4480223
nama: D-III ILMU ADMINISTRASI | kode: 4100152
nama: D-III ILMU ADMINISTRASI | kode: 4470134
nama: D-III ILMU ADMINISTRASI NEGARA | kode: 4100037
nama: D-III ILMU ADMINISTRASI NIAGA | kode: 4413100
nama: D-III ILMU ADMINISTRASI PERKANTORAN | kode: 4100725
nama: D-III ILMU ADMINISTRASI PUBLIK | kode: 4100726
nama: D-III ILMU AKUNTANSI | kode: 4400016
nama: D-III ILMU BIOLOGI | kode: 4480313
nama: D-III ILMU DESIGN TERAPAN | kode: 4177205
nama: D-III ILMU EKONOMI | kode: 4100072
nama: D-III ILMU EKONOMI MANAJEMEN | kode: 4177244
nama: D-III ILMU GIZI | kode: 4475157
nama: D-III ILMU GIZI MASYARAKAT | kode: 4100991
nama: D-III ILMU HAMA DAN PENYAKIT TANAMAN | kode: 4480314
nama: D-III ILMU HUKUM | kode: 4100051
nama: D-III ILMU INFORMASI | kode: 4400097
nama: D-III ILMU INFORMASI DAN PERPUSTAKAAN | kode: 4450002
nama: D-III ILMU INFORMASI PERPUSTAKAAN DAN KEARSIPAN | kode: 4100017
nama: D-III ILMU INFORMASI PERPUSTAKAAN DAN KEARSIPAN | kode: 4400096
nama: D-III ILMU INFORMATIKA | kode: 4400130
nama: D-III ILMU KEARSIPAN | kode: 4100015
nama: D-III ILMU KEBIDANAN | kode: 4100012
nama: D-III ILMU KEDOKTERAN | kode: 4100990
nama: D-III ILMU KEDOKTERAN HEWAN | kode: 4480315
nama: D-III ILMU KEHUTANAN | kode: 4100081
nama: D-III ILMU KELUARGA | kode: 4100985
nama: D-III ILMU KEPENDUDUKAN | kode: 4100979
nama: D-III ILMU KEPERAWATAN | kode: 4609116
nama: D-III ILMU KESEHATAN | kode: 4109671
nama: D-III ILMU KESEHATAN LINGKUNGAN | kode: 4400127
nama: D-III ILMU KESEJAHTERAAN SOSIAL | kode: 4100800
nama: D-III ILMU KESEKRETARIATAN | kode: 4100728
nama: D-III ILMU KIMIA | kode: 4400017
nama: D-III ILMU KOMPUTER | kode: 4450001
nama: D-III ILMU KOMUNIKASI | kode: 4420050
nama: D-III ILMU KOMUNIKASI PERIKLANAN | kode: 4470157
nama: D-III ILMU MANAJEMEN | kode: 4100730
nama: D-III ILMU PEMBANGUNAN | kode: 4177209
nama: D-III ILMU PEMERINTAHAN | kode: 4470117
nama: D-III ILMU PENDIDIKAN ANAK USIA DINI | kode: 4177194
nama: D-III ILMU PENDIDIKAN BIMBINGAN DAN KONSELING | kode: 4100987
nama: D-III ILMU PENDIDIKAN LINGKUNGAN | kode: 4480225
nama: D-III ILMU PENDIDIKAN MASYARAKAT | kode: 4100989
nama: D-III ILMU PENDIDIKAN NON FORMAL | kode: 4100988
nama: D-III ILMU PERENCANAAN WILAYAH | kode: 4100982
nama: D-III ILMU PERENCANAAN WILAYAH DAN PEDESAAN | kode: 4100983
nama: D-III ILMU PERIKANAN | kode: 4100827
nama: D-III ILMU PERPUSTAKAAN | kode: 4416110
nama: D-III ILMU PERPUSTAKAAN DAN ILMU KEARSIPAN | kode: 4100318
nama: D-III ILMU PERPUSTAKAAN DAN INFORMASI | kode: 4470077
nama: D-III ILMU PERPUSTAKAAN DAN INFORMASI ISLAM | kode: 4470085
nama: D-III ILMU PETERNAKAN | kode: 4177245
nama: D-III ILMU REKAM MEDIS | kode: 4411102
nama: D-III ILMU SAINS POLITIK | kode: 4100978
nama: D-III ILMU SEJARAH | kode: 4177247
nama: D-III ILMU SOSIAL | kode: 4470135
nama: D-III ILMU SOSIATRI | kode: 4470089
nama: D-III ILMU TANAH | kode: 4100772
nama: D-III ILMU TRANSPORTASI DARAT | kode: 4100041
nama: D-III INFORMASI PERPUSTAKAAN DAN KEARSIPAN | kode: 4100624
nama: D-III INFORMASI, PERPUSTAKAAN DAN KEARSIPAN | kode: 4100671
nama: D-III INFORMATIKA | kode: 4470138
nama: D-III INSTRUMENTASI DAN METROLOGI | kode: 4480226
nama: D-III INTRUMENTASI DAN METROLOGI | kode: 4480136
nama: D-III JAMU | kode: 4100021
nama: D-III JURNALISTIK | kode: 4609095
nama: D-III JURNALISTIK MODE | kode: 4480137
nama: D-III KARTOGRAFI | kode: 4100008
nama: D-III KARTOGRAFI DAN PENGINDERAAN JAUH | kode: 4480013
nama: D-III KEARSIPAN | kode: 4460010
nama: D-III KEARSIPAN/KEPERPUSTAKAAN | kode: 4100019
nama: D-III KEBIDANAN | kode: 4411200
nama: D-III KEBIJAKAN PUBLIK | kode: 4100734
nama: D-III KEHUMASAN | kode: 4609093
nama: D-III KEHUTANAN | kode: 4100193
nama: D-III KELAUTAN | kode: 4416200
nama: D-III KEPARIWISATAAN | kode: 4100634
nama: D-III KEPELATIHAN OLAHRAGA | kode: 4480138
nama: D-III KEPENATAAN ANESTESI | kode: 4475243
nama: D-III KEPERAWATAN | kode: 4100230
nama: D-III KEPERAWATAN ANESTESI | kode: 4470027
nama: D-III KEPERAWATAN ANESTESIOLOGI | kode: 4100808
nama: D-III KEPERAWATAN DENGAN KONSENTRASI ANESTESI DAN GAWAT DARURAT MEDIK | kode: 4480227
nama: D-III KEPERAWATAN GIGI | kode: 4411051
nama: D-III KEPERAWATAN YANG MEMILIKI SERTIFIKAT PELATIHAN ANESTESI SEBELUM 1 JUNI 2021 | kode: 4480352
nama: D-III KESEHATAN DAN KESELAMATAN KERJA | kode: 4475249
nama: D-III KESEHATAN GIGI | kode: 4411015
nama: D-III KESEHATAN HEWAN | kode: 4415312
nama: D-III KESEHATAN HEWAN DAN MASYARAKAT VETERINER | kode: 4470023
nama: D-III KESEHATAN LINGKUNGAN | kode: 4411091
nama: D-III KESEHATAN LINGKUNGAN (PEMINATAN/KONSENTRASI ENTOMOLOGI KESEHATAN) | kode: 4480356
nama: D-III KESEHATAN MASYARAKAT | kode: 4415311
nama: D-III KESEHATAN MASYARAKAT VETERINER | kode: 4480139
nama: D-III KESEHATAN TERNAK | kode: 4415310
nama: D-III KESEJAHTERAAN HEWAN | kode: 4480140
nama: D-III KESEKRETARIATAN | kode: 4401034
nama: D-III KESEKRETARIATAN BK. PERPUSTAKAAN DAN ARSIP | kode: 4600077
nama: D-III KESELAMATAN KERJA DAN PENCEGAHAN KEBAKARAN | kode: 4100735
nama: D-III KESELAMATAN TRANSPORTASI DARAT | kode: 4400132
nama: D-III KESELAMATAN TRANSPORTASI JALAN | kode: 4400136
nama: D-III KETALAKSANAAN PELAYARAN NIAGA DAN PELABUHAN | kode: 4480229
nama: D-III KETATALAKSANAAN PELAYARAN NIAGA DAN KEPELABUHAN | kode: 4480230
nama: D-III KETATALAKSANAAN PELAYARAN NIAGA DAN PELABUHAN | kode: 4609088
nama: D-III KEUANGAN DAN PERBANKAN | kode: 4401230
nama: D-III KIMIA | kode: 4609108
nama: D-III KIMIA ANALISIS | kode: 4432000
nama: D-III KIMIA INDUSTRI | kode: 4430010
nama: D-III KIMIA TEKSTIL | kode: 4100002
nama: D-III KIMIA TERAPAN | kode: 4430020
nama: D-III KOMPUTER | kode: 4450000
nama: D-III KOMPUTER AKUNTANSI | kode: 4450060
nama: D-III KOMPUTER DAN INFORMATIKA | kode: 4609107
nama: D-III KOMPUTER DAN SISTEM INFORMASI | kode: 4470072
nama: D-III KOMPUTER MULTIMEDIA | kode: 4450003
nama: D-III KOMPUTERISASI AKUNTANSI | kode: 4470086
nama: D-III KOMUNIKASI | kode: 4420000
nama: D-III KOMUNIKASI BROADCASTING | kode: 4480233
nama: D-III KOMUNIKASI HUMAS | kode: 4100975
nama: D-III KOMUNIKASI MASSA | kode: 4100154
nama: D-III KOMUNIKASI PEMBANGUNAN | kode: 4100390
nama: D-III KOMUNIKASI PENYIARAN ISLAM | kode: 4177211
nama: D-III KONSERVASI SUMBER DAYA HUTAN | kode: 4415120
nama: D-III KONSTRUKSI GEDUNG | kode: 4417035
nama: D-III KONSTRUKSI JALAN DAN JEMBATAN | kode: 4480234
nama: D-III KONSTRUKSI SIPIL | kode: 4417034
nama: D-III KOPERASI | kode: 4470081
nama: D-III KRIYA KAYU | kode: 4470079
nama: D-III KRIYA LOGAM | kode: 4100602
nama: D-III LABORATORIUM SAINS | kode: 4100640
nama: D-III LALU LINTAS ANGKUTAN JALAN | kode: 4100971
nama: D-III LALU LINTAS ANGKUTAN SUNGAI DAN PENYEBERANGAN/LLASDP | kode: 4100181
nama: D-III LALU LINTAS ANGKUTAN SUNGAI DANAU DAN PENYEBERANGAN | kode: 4100030
nama: D-III LALU LINTAS ANGKUTAN SUNGAI, DANAU DAN PENYEBERANGAN | kode: 4400230
nama: D-III LALU LINTAS DAN ANGKUTAN JALAN | kode: 4405053
nama: D-III LALU LINTAS DAN ASDP | kode: 4405050
nama: D-III LALULINTAS DAN ANGKUTAN JALAN RAYA | kode: 4100642
nama: D-III LINGKUNGAN | kode: 4415700
nama: D-III LINGKUNGAN INDUSTRI | kode: 4400250
nama: D-III LL ANGKUTAN SUNGAI DAN PENYEBERANGAN | kode: 4100291
nama: D-III LLAJ | kode: 4405011
nama: D-III LLAJR | kode: 4100251
nama: D-III LLASD | kode: 4100544
nama: D-III LOGISTIK | kode: 4470156
nama: D-III MANAGEMEN INFORMATIKA | kode: 4400023
nama: D-III MANAJEMEN | kode: 4401050
nama: D-III MANAJEMEN ADMINISTRASI | kode: 4480236
nama: D-III MANAJEMEN ADMINISTRASI PERKANTORAN | kode: 4470103
nama: D-III MANAJEMEN AGROBISNIS | kode: 4480235
nama: D-III MANAJEMEN ASET | kode: 4100581
nama: D-III MANAJEMEN BISNIS | kode: 4401072
nama: D-III MANAJEMEN BISNIS PERIKANAN | kode: 4470172
nama: D-III MANAJEMEN INDUSTRI | kode: 4401017
nama: D-III MANAJEMEN INFORMASI DAN DOKUMEN | kode: 4401066
